pinyin	tone	word	count
a	1	啊	1144
a	1	腌	14
a	1	阿	103
ai	1	哀	172
ai	1	哎	23
ai	1	唉	36
ai	1	埃	32
ai	1	挨	97
ai	2	捱	24
ai	2	皑	16
ai	3	嗳	78
ai	3	矮	35
ai	3	蔼	13
ai	3	霭	8
ai	4	僾	1
ai	4	嫒	1
ai	4	暧	10
ai	4	爱	842
ai	4	碍	93
ai	4	艾	24
ai	4	薆	2
ai	4	隘	7
an	1	安	1234
an	1	庵	110
an	1	谙	8
an	1	鞍	10
an	1	鹌	4
an	3	俺	35
an	4	岸	104
an	4	按	216
an	4	晻	1
an	4	暗	440
an	4	案	145
an	4	黯	27
ang	1	肮	6
ang	2	昂	13
ang	4	盎	6
ao	1	凹	14
ao	1	熬	62
ao	2	嗷	10
ao	2	敖	17
ao	2	翱	18
ao	2	螯	4
ao	2	遨	6
ao	2	骜	1
ao	2	鳌	4
ao	3	媪	1
ao	3	拗	26
ao	3	袄	59
ao	4	傲	71
ao	4	坳	5
ao	4	奥	17
ao	4	懊	14
ao	4	鏊	3
ba	1	八	587
ba	1	叭	1
ba	1	吧	723
ba	1	巴	299
ba	1	扒	20
ba	1	疤	74
ba	1	笆	10
ba	1	芭	13
ba	1	豝	3
ba	2	拔	124
ba	2	茇	5
ba	2	跋	17
ba	2	軷	1
ba	2	魃	1
ba	3	把	2929
ba	3	靶	10
ba	4	坝	6
ba	4	灞	1
ba	4	爸	82
ba	4	罢	1695
ba	4	霸	60
ba	4	鲅	1
bai	1	掰	23
bai	2	白	3754
bai	3	摆	258
bai	3	柏	32
bai	3	百	835
bai	4	拜	505
bai	4	稗	1
bai	4	粺	1
bai	4	败	292
ban	1	扳	19
ban	1	搬	118
ban	1	斑	24
ban	1	班	161
ban	1	瘢	1
ban	1	癍	2
ban	1	般	742
ban	1	颁	3
ban	3	坂	1
ban	3	板	149
ban	3	版	16
ban	3	阪	9
ban	4	伴	144
ban	4	办	651
ban	4	半	1319
ban	4	扮	94
ban	4	拌	38
ban	4	瓣	56
ban	4	绊	45
bang	1	帮	289
bang	1	梆	8
bang	1	邦	58
bang	3	榜	23
bang	3	绑	76
bang	3	膀	49
bang	4	傍	24
bang	4	棒	116
bang	4	磅	2
bang	4	蚌	2
bang	4	谤	20
bao	1	剥	45
bao	1	包	473
bao	1	孢	1
bao	1	枹	2
bao	1	煲	4
bao	1	胞	21
bao	1	苞	26
bao	1	褒	8
bao	1	龅	1
bao	2	薄	246
bao	2	雹	3
